date,equity,coreValue,cashValue,wheelValue,leapsValue
2024-04-11,1836862.1044632536,749257.7334178975,32050,123855.34571803479,931699.0253273215
2024-04-12,1765282.275320726,737313.2051858741,32050,123742.78825687808,872176.2818779737
2024-04-15,1691821.662382161,725183.6456851879,32050,123663.24019480523,810924.7765021679
2024-04-16,1691863.1192509087,725250.9531194879,32050,123837.36901537281,810724.797116048
2024-04-17,1641250.3668670566,716401.8994383767,32050,123880.33836083995,768918.1290678398
2024-04-18,1617182.8124455311,712313.8584287912,32050,123415.59278929286,749403.3612274473
2024-04-19,1534402.5441924995,697576.6620894109,32050,120512.26652582984,684263.6155772586
2024-04-22,1573856.5409712256,704591.9860749532,32050,122279.62373409368,714934.9311621786
2024-04-23,1636152.5537931006,715106.5265361482,32050,124076.30060879742,764919.726648155
2024-04-24,1650012.3853825054,717529.0807656498,32050,124526.74421712795,775906.5603997277
2024-04-25,1626597.2694704765,714063.4923368823,32050,124085.79157501104,756397.985558583
2024-04-26,1692497.5579948472,725082.7102040028,32050,125466.94338176216,809897.9044090823
2024-04-29,1704576.815172141,728026.7815331373,32050,126056.7777867759,818443.2558522279
2024-04-30,1625274.5107760136,714298.9913461377,32050,124470.20460384998,754455.314826026
2024-05-01,1596768.7167587848,709884.2367498718,32200,124413.02002893802,730271.4599799751
2024-05-02,1645252.0376501537,718944.733901816,32200,125811.5400134667,768295.763734871
2024-05-03,1724198.1102681584,733394.390007987,32200,127104.76066194657,831498.9595982246
2024-05-06,1767184.1306270063,741427.5559278264,32200,127625.1576707959,865931.4170283839
2024-05-07,1765785.614081732,741545.4556650043,32200,127678.00031383376,864362.158102894
2024-05-08,1763109.1340702828,741107.5717239601,32200,127724.81657910942,862076.7457672133
2024-05-09,1771329.6069100825,742724.2988522968,32200,127791.85433816131,868613.4537196244
2024-05-10,1780148.298188354,744475.7832216448,32200,127851.05567573564,875621.4592909734
2024-05-13,1788484.6175438901,746193.5525833255,32200,127919.21850779347,882171.846452771
2024-05-14,1814401.5694003329,750993.264246492,32200,127933.31381842194,903274.9913354189
2024-05-15,1879588.0556476265,762731.483371716,32200,127935.91890896855,956720.653366942
2024-05-16,1870683.4987036088,761182.1348638851,32200,127935.96003658115,949365.4038031426
2024-05-17,1867817.2728746124,760811.6295433467,32200,127935.96760788324,946869.6757233823
2024-05-20,1895208.8870583726,766116.5523732342,32200,127935.9678157932,968956.3668693453
2024-05-21,1903181.6537643438,767615.3797643929,32200,127935.9678157932,975430.3061841578
2024-05-22,1901972.2459570381,767463.8164143765,32200,127935.9678157932,974372.4617268684
2024-05-23,1881717.2424771646,764011.4201871813,32200,127935.9678157932,957569.8544741899
2024-05-24,1921867.551226604,771236.2482402669,32200,127935.9678157932,990495.3351705439
2024-05-28,1934916.6923212158,774149.7182930737,32200,127935.9678157932,1000631.0062123487
2024-05-29,1901904.5636672499,768693.2321131697,32200,127935.9678157932,973075.3637382869
2024-05-30,1855978.8684818465,760457.930331813,32200,127935.9678157932,935384.9703342402
2024-05-31,1847605.534085946,759043.287670165,32200,127935.9678157932,928426.2785999877
2024-06-03,1870418.4377019666,763868.846196088,32350,128415.9678157932,945783.6236900855
2024-06-04,1882530.9899046281,765959.1732532675,32350,128415.9678157932,955805.8488355672
2024-06-05,1980512.9503845682,781400.7492979547,32350,128415.9678157932,1038346.2332708202
2024-06-06,1978346.9168816288,781131.021380038,32350,128415.9678157932,1036449.9276857977
2024-06-07,1971444.8671032935,780439.8532363777,32350,128415.9678157932,1030239.0460511226
2024-06-10,1989157.7746030698,783592.2178936856,32350,128415.9678157932,1044799.588893591
2024-06-11,2022948.6688637566,788969.7992898014,32350,128415.9678157932,1073212.9017581618
2024-06-12,2088063.457685223,799303.5218562895,32350,128415.9678157932,1127993.9680131404
2024-06-13,2115467.6276252787,803635.9397238155,32350,128415.9678157932,1151065.7200856698
2024-06-14,2141940.7826706455,807799.7712119762,32350,128415.9678157932,1173375.0436428762
2024-06-17,2205412.7332811896,817695.179481182,32350,128415.9678157932,1226951.5859842142
2024-06-18,2206324.082561724,817948.0333275603,32350,128415.9678157932,1227610.0814183706
2024-06-20,2164345.3777276566,811643.3040129445,32350,128415.9678157932,1191936.1058989188
2024-06-21,2148514.02063734,809468.6580434121,32350,128415.9678157932,1178279.3947781348
2024-06-24,2079512.8250777544,798983.2231690971,32350,128415.9678157932,1119763.634092864
2024-06-25,2138248.8092414206,808120.0698991686,32350,128415.9678157932,1169362.7715264587
2024-06-26,2147491.5798764545,809788.9567306045,32350,128415.9678157932,1176936.655330057
2024-06-27,2159332.620563658,811879.283787784,32350,128415.9678157932,1186687.3689600804
2024-06-28,2131493.8531325706,807664.8815303477,32350,128415.9678157932,1163063.0037864295
2024-07-01,2162705.5377705074,813151.916997419,32500,128895.9678157932,1188157.652957295
2024-07-02,2222577.0912449155,821689.7377978199,32500,128895.9678157932,1239491.3856313021
2024-07-03,2272283.304446858,828540.2414203892,32500,128895.9678157932,1282347.0952106756
2024-07-05,2335339.0133870216,837179.2971320333,32500,128895.9678157932,1336763.7484391949
2024-07-08,2347681.7216523103,839170.3190435943,32500,128895.9678157932,1347115.434792923
2024-07-09,2352307.2505196137,839895.8530717818,32500,128895.9678157932,1351015.4296320388
2024-07-10,2417761.600583978,848653.0333441541,32500,128895.9678157932,1407712.5994240309
2024-07-11,2283453.2739986186,830041.9269323857,32500,128895.9678157932,1292015.3792504398
2024-07-12,2317767.568494951,834918.298292879,32500,128895.9678157932,1321453.3023862785
2024-07-15,2330549.2421490024,837162.407482548,32500,128895.9678157932,1331990.866850661
2024-07-16,2332310.436926478,837483.0018657628,32500,128895.9678157932,1333431.467244922
2024-07-17,2160427.41181117,812898.7782264772,32500,128895.9678157932,1186132.6657688995
2024-07-18,2131940.510787539,809051.6971207347,32500,128528.46801085118,1161860.3456559533
2024-07-19,2080559.9752449577,801880.5991149506,32500,127419.70979363949,1118759.6663363676
2024-07-22,2162004.3285681996,813826.8335699849,32500,129680.71970963934,1185996.7752885753
2024-07-23,2140733.042126827,810958.3737705378,32500,129427.03468655486,1167847.6336697342
2024-07-24,1944376.2175170267,781869.042102429,32500,122612.11713124649,1007395.0582833512
2024-07-25,1884689.8760087816,773246.8245474362,32500,120124.71025009025,958818.341211255
2024-07-26,1939866.4426872386,781177.2358803779,32500,122381.47721068704,1003807.7295961736
2024-07-29,1949402.1614817055,782746.4284974812,32500,123315.8838797507,1010839.8491044736
2024-07-30,1873081.156938916,771998.2263135477,32500,120099.83491303818,948483.0957123303
2024-07-31,2039777.914377301,794844.5153193801,32500,126176.37349528333,1086257.0255626375
2024-08-01,1910916.9538892498,776342.2201411822,32650,121261.16558729882,980663.5681607688
2024-08-02,1794827.6007816033,757915.7823451791,32650,114489.9334274235,889771.8850090007
2024-08-05,1661573.0343930582,735317.6389055375,32650,105677.28648195579,787928.1090055647
2024-08-06,1703560.7173777996,742343.6721760143,32650,108153.86041759716,820413.184784188
2024-08-07,1655004.319142464,734304.2593058542,32650,104913.31071997563,783136.7491166343
2024-08-08,1796719.9890307584,756767.3095187641,32650,113674.57137004661,893628.1081419475
2024-08-09,1819922.0481043751,760719.4435691646,32650,115114.99840307937,911437.6061321313
2024-08-12,1829023.7031762432,762357.7259849083,32650,116098.34990399303,917917.6272873419
